name,owned,id,start_date,end_date,year
Charl Schwartzel,1.68,178,2018-08-23,2018-08-26,2018
Pat Perez,1.38,178,2018-08-23,2018-08-26,2018
Sung Kang,1.38,178,2018-08-23,2018-08-26,2018
Sean O'Hair,1.26,178,2018-08-23,2018-08-26,2018
Nick Taylor,0.9,178,2018-08-23,2018-08-26,2018
Cameron Smith,0.78,178,2018-08-23,2018-08-26,2018
Brice Garnett,0.78,178,2018-08-23,2018-08-26,2018
Harris English,0.66,178,2018-08-23,2018-08-26,2018
Satoshi Kodaira,0.6,178,2018-08-23,2018-08-26,2018
Michael Kim,0.42,178,2018-08-23,2018-08-26,2018
Tony Finau,40.32,179,2018-08-31,2018-09-03,2018
Dustin Johnson,29.52,179,2018-08-31,2018-09-03,2018
Chris Kirk,28.14,179,2018-08-31,2018-09-03,2018
Tommy Fleetwood,27.66,179,2018-08-31,2018-09-03,2018
Justin Rose,26.88,179,2018-08-31,2018-09-03,2018
Zach Johnson,25.68,179,2018-08-31,2018-09-03,2018
Justin Thomas,24.9,179,2018-08-31,2018-09-03,2018
Brooks Koepka,24.48,179,2018-08-31,2018-09-03,2018
Jason Day,22.74,179,2018-08-31,2018-09-03,2018
Tiger Woods,21.66,179,2018-08-31,2018-09-03,2018
Marc Leishman,20.28,179,2018-08-31,2018-09-03,2018
Brian Gay,19.92,179,2018-08-31,2018-09-03,2018
Kevin Streelman,19.68,179,2018-08-31,2018-09-03,2018
Paul Casey,19.62,179,2018-08-31,2018-09-03,2018
Rafael Cabrera-Bello,19.14,179,2018-08-31,2018-09-03,2018
Patrick Cantlay,18.9,179,2018-08-31,2018-09-03,2018
Webb Simpson,18.72,179,2018-08-31,2018-09-03,2018
Keith Mitchell,18.48,179,2018-08-31,2018-09-03,2018
Henrik Stenson,18.36,179,2018-08-31,2018-09-03,2018
Kevin Tway,17.64,179,2018-08-31,2018-09-03,2018
Patrick Reed,17.52,179,2018-08-31,2018-09-03,2018
Joel Dahmen,17.52,179,2018-08-31,2018-09-03,2018
Keegan Bradley,17.52,179,2018-08-31,2018-09-03,2018
Ian Poulter,17.46,179,2018-08-31,2018-09-03,2018
Ryan Moore,17.4,179,2018-08-31,2018-09-03,2018
Charley Hoffman,17.04,179,2018-08-31,2018-09-03,2018
Cheng-Tsung Pan,15.96,179,2018-08-31,2018-09-03,2018
Rory McIlroy,15.54,179,2018-08-31,2018-09-03,2018
Jon Rahm,15.48,179,2018-08-31,2018-09-03,2018
Bryson DeChambeau,15.06,179,2018-08-31,2018-09-03,2018
Matt Kuchar,13.92,179,2018-08-31,2018-09-03,2018
Russell Henley,13.56,179,2018-08-31,2018-09-03,2018
Xander Schauffele,13.02,179,2018-08-31,2018-09-03,2018
Phil Mickelson,12.78,179,2018-08-31,2018-09-03,2018
Alexander Noren,12.48,179,2018-08-31,2018-09-03,2018
Andrew Putnam,12.42,179,2018-08-31,2018-09-03,2018
Branden Grace,12.42,179,2018-08-31,2018-09-03,2018
Bubba Watson,11.94,179,2018-08-31,2018-09-03,2018
Jordan Spieth,11.82,179,2018-08-31,2018-09-03,2018
Tyrrell Hatton,11.64,179,2018-08-31,2018-09-03,2018
Billy Horschel,11.4,179,2018-08-31,2018-09-03,2018
Stewart Cink,11.34,179,2018-08-31,2018-09-03,2018
Brian Harman,11.16,179,2018-08-31,2018-09-03,2018
J.B. Holmes,10.8,179,2018-08-31,2018-09-03,2018
Emiliano Grillo,10.74,179,2018-08-31,2018-09-03,2018
Gary Woodland,10.62,179,2018-08-31,2018-09-03,2018
Kevin Na,10.56,179,2018-08-31,2018-09-03,2018
Kyle Stanley,10.38,179,2018-08-31,2018-09-03,2018
Ollie Schniederjans,10.38,179,2018-08-31,2018-09-03,2018
Jamie Lovemark,10.2,179,2018-08-31,2018-09-03,2018
Hideki Matsuyama,10.2,179,2018-08-31,2018-09-03,2018
Chez Reavie,9.78,179,2018-08-31,2018-09-03,2018
