tour,start_date,end_date,draftkings.name,salary,add_timestamp
The Honda Classic,2020-02-27,2020-03-01,Kiradech Aphibarnrat,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Cameron Davis,7000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Matt Jones,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Rob Oppenheim,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Rory Sabbatini,7400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Fabian Gomez,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,David Hearn,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jhonattan Vegas,7900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Keegan Bradley,7400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Scott Harrington,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brooks Koepka,11200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Hudson Swafford,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sebastian Cappelen,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sam Ryder,7000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Luke Donald,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kevin Tway,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Zach Johnson,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brice Garnett,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Zac Blair,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Ryo Ishikawa,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tyler Duncan,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kevin Streelman,7900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Ian Poulter,8500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Emiliano Grillo,8000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Adam Schenk,7500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Robby Shelton,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Wyndham Clark,7600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Mark Anderson,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Keith Mitchell,7300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Nick Watney,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Robert Streb,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Matt Wallace,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Josh Teater,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Russell Henley,7400,2020-02-25T21:31:28Z
